country,location,life_expectancy
Western Sahara,"24.21553, -12.88583",71.08
Tonga,"-21.17899, -175.19824",71.32
Philippines,"12.87972, 121.77402",71.66
Nepal,"28.39486, 84.12401",71.74
Tajikistan,"38.86103, 71.27609",71.76
Kyrgyzstan,"41.20438, 74.7661",71.95
Uzbekistan,"41.37749, 64.58526",72.04
Suriname,"3.91931, -56.02778",72.13
Moldova,"47.41163, 28.36988",72.3
Indonesia,"-0.78928, 113.92133",72.32
Venezuela,"6.42375, -66.58973",72.34
Bolivia,"-16.29015, -63.58865",72.35
Ukraine,"48.37943, 31.16558",72.5
Egypt,"26.82055, 30.8025",72.54
Grenada,"12.26278, -61.60417",72.59
Bhutan,"27.51416, 90.4336",72.77
North Korea,"40.33985, 127.51009",72.89
Russia,"61.52401, 105.31876",72.99
Azerbaijan,"40.14311, 47.57693",73.33
Solomon Islands,"-9.64571, 160.15619",73.38
Libya,"26.3351, 17.22833",73.44
Bangladesh,"23.68499, 90.35633",73.57
Seychelles,"-4.67957, 55.49198",73.74
Samoa,"-13.75903, -172.10463",73.75
Kazakhstan,"48.01957, 66.92368",73.9
Trinidad and Tobago,"10.6918, -61.2225",73.91
El Salvador,"13.79419, -88.89653",74.06
Micronesia,"7.42555, 150.55081",74.08
Georgia,"42.31541, 43.35689",74.24
Bahamas,"25.03428, -77.39628",74.28
Paraguay,"-23.4425, -58.44383",74.59
Dominican Republic,"18.73569, -70.16265",74.65
Jamaica,"18.10958, -77.29751",74.88
Jordan,"30.58516, 36.23842",75.01
Guatemala,"15.78347, -90.23076",75.05
Belize,"17.18988, -88.49765",75.09
Belarus,"53.70981, 27.95339",75.2
Nicaragua,"12.86542, -85.20723",75.23
Mexico,"23.6345, -102.55279",75.41
Bulgaria,"42.73388, 25.48583",75.49
Mauritius,"-20.3484, 57.55215",75.51
Armenia,"40.0691, 45.03819",75.55
Saudi Arabia,"23.88594, 45.07916",75.69
Latvia,"56.87964, 24.60319",75.73
Vietnam,"14.05832, 108.2772",75.77
Kuwait,"29.31166, 47.48177",75.85
Honduras,"15.2, -86.24191",75.87
Syria,"34.80207, 38.99682",76.06
Brunei,"4.53528, 114.72767",76.35
Lithuania,"55.16944, 23.88128",76.41
Serbia,"44.01652, 21.00586",76.47
Romania,"45.94316, 24.96676",76.5
Brazil,"-14.235, -51.92528",76.57
Malaysia,"4.21048, 101.97577",76.65
Saint Lucia,"13.90944, -60.97889",76.67
Aruba,"12.52111, -69.96834",76.79
Argentina,"-38.4161, -63.61667",77.17
Hungary,"47.1625, 19.5033",77.31
Iran,"32.42791, 53.68805",77.33
Tunisia,"33.88692, 9.5375",77.36
Montenegro,"42.70868, 19.37439",77.39
Morocco,"31.7917, -7.09262",77.43
Peru,"-9.18997, -75.01515",77.44
Antigua and Barbuda,"17.06082, -61.79643",77.47
China,"35.86166, 104.1954",77.47
Algeria,"28.03389, 1.65963",77.5
Sri Lanka,"7.87305, 80.7718",77.56
Ecuador,"-1.83124, -78.1834",77.71
Bahrain,"25.93041, 50.63777",77.73
Thailand,"15.87003, 100.99254",77.74
Colombia,"4.57087, -74.29733",77.87
Bosnia and Herzegovina,"43.91589, 17.67908",77.93
Slovakia,"48.66903, 19.69902",78
New Caledonia,"-20.90431, 165.61804",78.16
French Polynesia,"-17.67974, -149.40685",78.23
Uruguay,"-32.52278, -55.76584",78.43
Turkey,"38.96375, 35.24332",78.45
United Arab Emirates,"23.42408, 53.84782",78.46
Oman,"21.51258, 55.92326",78.58
Albania,"41.15333, 20.16833",78.96
Croatia,"45.1, 15.2",79.02
Panama,"8.53798, -80.78213",79.1
United States,"37.09024, -95.71289",79.11
Cuba,"21.52176, -77.78117",79.18
Estonia,"58.59527, 25.01361",79.18
Lebanon,"33.85472, 35.86229",79.27
Poland,"51.91944, 19.14514",79.27
Barbados,"13.19389, -59.5432",79.64
Mayotte,"-12.8275, 45.16625",79.85
Maldives,"3.20278, 73.22068",79.89
